;YEAR;MONTH;DAY;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
50;2015;11;01;42143.708333333336;42361.86111111111;42841.069444444445;43125.194444444445
111;2015;11;02;44020.416666666664;44185.01388888889;44369.458333333336;44545.02777777778
172;2015;11;03;43557.458333333336;43789.40277777778;44103.59722222222;44295.055555555555
233;2015;11;04;41836.666666666664;41947.555555555555;42709.25;42753.180555555555
294;2015;11;05;43676.01388888889;43787.541666666664;44245.125;44369.958333333336
355;2015;11;06;44105.444444444445;44006.52777777778;44729.84722222222;44583.430555555555
416;2015;11;07;42960.13888888889;42961.055555555555;43752.305555555555;43790.583333333336
477;2015;11;08;42511.625;42607.75;43237.72222222222;43315.77777777778
538;2015;11;09;44846.166666666664;44796.694444444445;45124.5;45044.52777777778
599;2015;11;10;45094.430555555555;45066.069444444445;45511.86111111111;45434.944444444445
660;2015;11;11;45228.13888888889;45276.208333333336;45611.97222222222;45597.583333333336
721;2015;11;12;45211.38888888889;45285.180555555555;45552.833333333336;45543.569444444445
782;2015;11;13;45394.36111111111;45417.319444444445;45657.166666666664;45653.666666666664
843;2015;11;14;44152.34722222222;44090.22222222222;44881.76388888889;44860.38888888889
904;2015;11;15;43942.125;43861.27777777778;44863.666666666664;44784.541666666664
965;2015;11;16;46252.069444444445;46306.22222222222;46615.944444444445;46683.541666666664
1026;2015;11;17;46564.75;46608.47222222222;46933.944444444445;46902.27777777778
1087;2015;11;18;46767.5;46836.36111111111;47187.291666666664;47131.041666666664
1148;2015;11;19;47024.23611111111;46914.305555555555;47347.305555555555;47111.819444444445
1209;2015;11;20;46950.11111111111;47015.208333333336;47182.083333333336;47286.13888888889
1270;2015;11;21;45104.319444444445;45217.819444444445;45766.569444444445;45897.930555555555
1331;2015;11;22;44374.84722222222;44426.63888888889;44991.791666666664;45085.40277777778
1392;2015;11;23;46238.125;46361.75;46258.208333333336;46376.541666666664
1453;2015;11;24;46202.59722222222;46391.34722222222;46152.291666666664;46391.40277777778
1514;2015;11;25;46098.555555555555;46298.88888888889;46150.25;46400.13888888889
1575;2015;11;26;46139.25;46274.458333333336;46155.416666666664;46352.333333333336
1636;2015;11;27;46336.416666666664;46409.75;46471.625;46432.27777777778
1697;2015;11;28;44782.73611111111;44842.97222222222;45416.65277777778;45496.51388888889
