Дата;Регион;Значение;REGION
2019-12-01;Мордовия;65.0;Мордовия
2019-12-01;Нижегородская область;61.0;Нижегородская обл.
2019-12-01;Пензенская область;62.0;Пензенская обл.
2019-12-01;Республика Марий Эл;58.0;Марий Эл
2019-12-01;Республика Татарстан;66.0;Татарстан
2019-12-01;Самарская область;62.0;Самарская обл.
2019-12-01;Саратовская область;62.0;Саратовская обл.
2019-12-01;Ульяновская область;59.0;Ульяновская обл.
2019-12-01;Чувашская Республика;61.0;Чувашия
2019-12-02;Мордовия;66.0;Мордовия
2019-12-02;Нижегородская область;68.0;Нижегородская обл.
2019-12-02;Пензенская область;63.0;Пензенская обл.
2019-12-02;Республика Марий Эл;62.0;Марий Эл
2019-12-02;Республика Татарстан;77.0;Татарстан
2019-12-02;Самарская область;71.0;Самарская обл.
2019-12-02;Саратовская область;63.0;Саратовская обл.
2019-12-02;Ульяновская область;59.0;Ульяновская обл.
2019-12-02;Чувашская Республика;71.0;Чувашия
2019-12-03;Мордовия;69.0;Мордовия
2019-12-03;Нижегородская область;71.0;Нижегородская обл.
2019-12-03;Пензенская область;67.0;Пензенская обл.
2019-12-03;Республика Марий Эл;64.0;Марий Эл
2019-12-03;Республика Татарстан;81.0;Татарстан
2019-12-03;Самарская область;72.0;Самарская обл.
2019-12-03;Саратовская область;66.0;Саратовская обл.
2019-12-03;Ульяновская область;62.0;Ульяновская обл.
2019-12-03;Чувашская Республика;72.0;Чувашия
2019-12-04;Мордовия;69.0;Мордовия
2019-12-04;Нижегородская область;72.0;Нижегородская обл.
2019-12-04;Пензенская область;71.0;Пензенская обл.
2019-12-04;Республика Марий Эл;64.0;Марий Эл
2019-12-04;Республика Татарстан;79.0;Татарстан
2019-12-04;Самарская область;71.0;Самарская обл.
2019-12-04;Саратовская область;67.0;Саратовская обл.
2019-12-04;Ульяновская область;65.0;Ульяновская обл.
2019-12-04;Чувашская Республика;76.0;Чувашия
2019-12-05;Мордовия;73.0;Мордовия
2019-12-05;Нижегородская область;76.0;Нижегородская обл.
2019-12-05;Пензенская область;73.0;Пензенская обл.
2019-12-05;Республика Марий Эл;69.0;Марий Эл
2019-12-05;Республика Татарстан;81.0;Татарстан
2019-12-05;Самарская область;73.0;Самарская обл.
2019-12-05;Саратовская область;73.0;Саратовская обл.
2019-12-05;Ульяновская область;65.0;Ульяновская обл.
2019-12-05;Чувашская Республика;75.0;Чувашия
2019-12-06;Мордовия;81.0;Мордовия
2019-12-06;Нижегородская область;83.0;Нижегородская обл.
2019-12-06;Пензенская область;81.0;Пензенская обл.
2019-12-06;Республика Марий Эл;71.0;Марий Эл
2019-12-06;Республика Татарстан;90.0;Татарстан
2019-12-06;Самарская область;84.0;Самарская обл.
2019-12-06;Саратовская область;79.0;Саратовская обл.
2019-12-06;Ульяновская область;78.0;Ульяновская обл.
2019-12-06;Чувашская Республика;82.0;Чувашия
2019-12-07;Мордовия;72.0;Мордовия
2019-12-07;Нижегородская область;74.0;Нижегородская обл.
2019-12-07;Пензенская область;76.0;Пензенская обл.
2019-12-07;Республика Марий Эл;63.0;Марий Эл
2019-12-07;Республика Татарстан;78.0;Татарстан
2019-12-07;Самарская область;72.0;Самарская обл.
2019-12-07;Саратовская область;74.0;Саратовская обл.
2019-12-07;Ульяновская область;71.0;Ульяновская обл.
2019-12-07;Чувашская Республика;77.0;Чувашия
2019-12-08;Мордовия;57.0;Мордовия
2019-12-08;Нижегородская область;58.0;Нижегородская обл.
2019-12-08;Пензенская область;61.0;Пензенская обл.
2019-12-08;Республика Марий Эл;52.0;Марий Эл
2019-12-08;Республика Татарстан;62.0;Татарстан
2019-12-08;Самарская область;61.0;Самарская обл.
2019-12-08;Саратовская область;59.0;Саратовская обл.
2019-12-08;Ульяновская область;58.0;Ульяновская обл.
2019-12-08;Чувашская Республика;58.0;Чувашия
2019-12-09;Мордовия;66.0;Мордовия
2019-12-09;Нижегородская область;65.0;Нижегородская обл.
2019-12-09;Пензенская область;67.0;Пензенская обл.
2019-12-09;Республика Марий Эл;64.0;Марий Эл
2019-12-09;Республика Татарстан;80.0;Татарстан
2019-12-09;Самарская область;67.0;Самарская обл.
2019-12-09;Саратовская область;67.0;Саратовская обл.
2019-12-09;Ульяновская область;64.0;Ульяновская обл.
2019-12-09;Чувашская Республика;77.0;Чувашия
2019-12-10;Мордовия;73.0;Мордовия
2019-12-10;Нижегородская область;78.0;Нижегородская обл.
2019-12-10;Пензенская область;74.0;Пензенская обл.
2019-12-10;Республика Марий Эл;65.0;Марий Эл
2019-12-10;Республика Татарстан;84.0;Татарстан
2019-12-10;Самарская область;75.0;Самарская обл.
2019-12-10;Саратовская область;71.0;Саратовская обл.
2019-12-10;Ульяновская область;67.0;Ульяновская обл.
2019-12-10;Чувашская Республика;82.0;Чувашия
2019-12-11;Мордовия;74.0;Мордовия
2019-12-11;Нижегородская область;78.0;Нижегородская обл.
2019-12-11;Пензенская область;74.0;Пензенская обл.
2019-12-11;Республика Марий Эл;74.0;Марий Эл
2019-12-11;Республика Татарстан;85.0;Татарстан
2019-12-11;Самарская область;74.0;Самарская обл.
2019-12-11;Саратовская область;73.0;Саратовская обл.
2019-12-11;Ульяновская область;72.0;Ульяновская обл.
2019-12-11;Чувашская Республика;82.0;Чувашия
2019-12-12;Мордовия;77.0;Мордовия
2019-12-12;Нижегородская область;80.0;Нижегородская обл.
2019-12-12;Пензенская область;76.0;Пензенская обл.
2019-12-12;Республика Марий Эл;76.0;Марий Эл
2019-12-12;Республика Татарстан;85.0;Татарстан
2019-12-12;Самарская область;80.0;Самарская обл.
2019-12-12;Саратовская область;76.0;Саратовская обл.
2019-12-12;Ульяновская область;72.0;Ульяновская обл.
2019-12-12;Чувашская Республика;85.0;Чувашия
2019-12-13;Мордовия;85.0;Мордовия
2019-12-13;Нижегородская область;88.0;Нижегородская обл.
2019-12-13;Пензенская область;84.0;Пензенская обл.
2019-12-13;Республика Марий Эл;85.0;Марий Эл
2019-12-13;Республика Татарстан;96.0;Татарстан
2019-12-13;Самарская область;94.0;Самарская обл.
2019-12-13;Саратовская область;84.0;Саратовская обл.
2019-12-13;Ульяновская область;83.0;Ульяновская обл.
2019-12-13;Чувашская Республика;89.0;Чувашия
2019-12-14;Мордовия;79.0;Мордовия
2019-12-14;Нижегородская область;81.0;Нижегородская обл.
2019-12-14;Пензенская область;80.0;Пензенская обл.
2019-12-14;Республика Марий Эл;78.0;Марий Эл
2019-12-14;Республика Татарстан;85.0;Татарстан
2019-12-14;Самарская область;84.0;Самарская обл.
2019-12-14;Саратовская область;76.0;Саратовская обл.
2019-12-14;Ульяновская область;77.0;Ульяновская обл.
2019-12-14;Чувашская Республика;83.0;Чувашия
