DATE;VALUE;REGION
2020-03-02;1.1;Мордовия
2020-03-02;0.9;Нижегородская обл.
2020-03-02;1.5;Пензенская обл.
2020-03-02;0.3;Марий Эл
2020-03-02;1.3;Татарстан
2020-03-02;1.5;Самарская обл.
2020-03-02;1.7;Саратовская обл.
2020-03-02;0.7;Ульяновская обл.
2020-03-02;0.4;Чувашия
2020-03-09;0.9;Мордовия
2020-03-09;1.0;Нижегородская обл.
2020-03-09;1.7;Пензенская обл.
2020-03-09;0.2;Марий Эл
2020-03-09;1.0;Татарстан
2020-03-09;1.2;Самарская обл.
2020-03-09;1.0;Саратовская обл.
2020-03-09;0.8;Ульяновская обл.
2020-03-09;0.7;Чувашия
2020-03-16;0.6;Мордовия
2020-03-16;0.5;Нижегородская обл.
2020-03-16;1.7;Пензенская обл.
2020-03-16;0.5;Марий Эл
2020-03-16;0.9;Татарстан
2020-03-16;1.1;Самарская обл.
2020-03-16;0.9;Саратовская обл.
2020-03-16;0.3;Ульяновская обл.
2020-03-16;0.6;Чувашия
2020-03-23;-0.4;Мордовия
2020-03-23;0.0;Нижегородская обл.
2020-03-23;0.4;Пензенская обл.
2020-03-23;-0.2;Марий Эл
2020-03-23;-0.3;Татарстан
2020-03-23;-0.3;Самарская обл.
2020-03-23;0.1;Саратовская обл.
2020-03-23;-0.5;Ульяновская обл.
2020-03-23;-0.7;Чувашия
2020-03-30;-14.0;Мордовия
2020-03-30;-14.6;Нижегородская обл.
2020-03-30;-13.5;Пензенская обл.
2020-03-30;-13.5;Марий Эл
2020-03-30;-12.7;Татарстан
2020-03-30;-8.8;Самарская обл.
2020-03-30;-14.7;Саратовская обл.
2020-03-30;-8.6;Ульяновская обл.
2020-03-30;-13.9;Чувашия
2020-04-06;-31.4;Мордовия
2020-04-06;-35.1;Нижегородская обл.
2020-04-06;-33.4;Пензенская обл.
2020-04-06;-36.7;Марий Эл
2020-04-06;-38.5;Татарстан
2020-04-06;-26.9;Самарская обл.
2020-04-06;-33.5;Саратовская обл.
2020-04-06;-28.5;Ульяновская обл.
2020-04-06;-35.1;Чувашия
2020-04-13;-29.1;Мордовия
2020-04-13;-32.5;Нижегородская обл.
2020-04-13;-31.3;Пензенская обл.
2020-04-13;-33.7;Марий Эл
2020-04-13;-35.0;Татарстан
2020-04-13;-21.5;Самарская обл.
2020-04-13;-30.8;Саратовская обл.
2020-04-13;-25.8;Ульяновская обл.
2020-04-13;-33.4;Чувашия
2020-04-20;-29.3;Мордовия
2020-04-20;-31.3;Нижегородская обл.
2020-04-20;-29.6;Пензенская обл.
2020-04-20;-33.1;Марий Эл
2020-04-20;-33.7;Татарстан
2020-04-20;-20.0;Самарская обл.
2020-04-20;-30.6;Саратовская обл.
2020-04-20;-21.4;Ульяновская обл.
2020-04-20;-32.0;Чувашия
2020-04-27;-29.4;Мордовия
2020-04-27;-29.9;Нижегородская обл.
2020-04-27;-27.6;Пензенская обл.
2020-04-27;-32.1;Марий Эл
2020-04-27;-31.8;Татарстан
2020-04-27;-18.2;Самарская обл.
2020-04-27;-28.2;Саратовская обл.
2020-04-27;-16.7;Ульяновская обл.
2020-04-27;-29.8;Чувашия
2020-05-04;-27.0;Мордовия
2020-05-04;-30.8;Нижегородская обл.
2020-05-04;-25.7;Пензенская обл.
2020-05-04;-30.0;Марий Эл
2020-05-04;-31.8;Татарстан
2020-05-04;-18.9;Самарская обл.
2020-05-04;-27.2;Саратовская обл.
2020-05-04;-15.6;Ульяновская обл.
2020-05-04;-29.1;Чувашия
2020-05-11;-23.2;Мордовия
2020-05-11;-28.1;Нижегородская обл.
2020-05-11;-21.8;Пензенская обл.
2020-05-11;-26.0;Марий Эл
2020-05-11;-23.0;Татарстан
2020-05-11;-16.0;Самарская обл.
2020-05-11;-24.8;Саратовская обл.
2020-05-11;-11.7;Ульяновская обл.
2020-05-11;-24.9;Чувашия
2020-05-18;-20.6;Мордовия
2020-05-18;-25.0;Нижегородская обл.
2020-05-18;-19.7;Пензенская обл.
2020-05-18;-24.5;Марий Эл
2020-05-18;-20.2;Татарстан
2020-05-18;-12.8;Самарская обл.
2020-05-18;-22.9;Саратовская обл.
2020-05-18;-8.8;Ульяновская обл.
2020-05-18;-23.5;Чувашия
2020-05-25;-18.3;Мордовия
2020-05-25;-21.8;Нижегородская обл.
2020-05-25;-18.0;Пензенская обл.
2020-05-25;-23.1;Марий Эл
2020-05-25;-18.3;Татарстан
2020-05-25;-10.7;Самарская обл.
2020-05-25;-17.9;Саратовская обл.
2020-05-25;-7.6;Ульяновская обл.
2020-05-25;-21.8;Чувашия
2020-06-01;-15.4;Мордовия
